Location,Type,Name
"40.81768438765589, -73.87069209507843",Spray Shower,Soundview Park
"40.69717756752688, -73.89645222498879",Spray Shower,Evergreen Park
"40.70279672774583, -73.92423620861032",Spray Shower,Maria Hernandez Park Playground
"40.792664652338544, -73.94284293024013",Spray Shower,Poor Richard's Playground
"40.714689677245744, -74.00006063551629",Spray Shower,Columbus Park
"40.74969981664737, -74.00061242105646",Spray Shower,Chelsea Park
"40.54136802102857, -74.14271076865224",Spray Shower,Seaside Wildlife Nature Playground
"40.689789601338056, -73.99949722055521",Spray Shower,Van Voorhees Playground
"40.637373563214211, -74.074486803528487",Pool,Lyons Pool
"40.81994998246723, -73.82608186323692",Spray Shower,Ferry Point Park Playground
"40.836843347594574, -73.87194911492213",Spray Shower,Noble Playground
"40.829146912160056, -73.86913061069961",Spray Shower,Watson Gleason Playground
"40.58828223220934, -73.80958531423664",Spray Shower,Hammel Playground
"40.75476956740561, -73.85567509582947",Spray Shower,Louis Armstrong Playground
"40.86819143588389, -73.79255630919559",Beach,Orchard Beach North
"40.86803125001653, -73.7934366623016",Beach,Pelican Bay Plgd
"40.848236631650444, -73.82563747914581",Beach,Playground For All Children
"40.85122291411958, -73.8261889707186",Beach,Sweetgum Plgd
"40.77007939053767, -73.82680766147898",Spray Shower,Colden Playground
"40.757004675863186, -73.7281151479484",Spray Shower,Challenge Playground
"40.741247839530224, -73.86019997587977",Spray Shower,Simeone Park
"40.73064209725441, -73.8061863561756",Spray Shower,Emerald Playground
"40.874966303719695, -73.89201288517182",Spray Shower,Harris Park Playground
"40.74332755301353, -73.95480319973015",Spray Shower,Andrews Grove
"40.639260205777234, -74.08979007247339",Spray Shower,Skyline Playground
"40.715351895563174, -73.96387556611279",Spray Shower,William Sheridan Playground
"40.76923883565362, -73.94948322669356",Spray Shower,John Jay Park
"40.76956820113714, -73.949088381082447",Pool,John Jay Diving Pool
"40.769286856807305, -73.949065961359068",Pool,John Jay Pool
"40.79339012061636, -73.93399746901522",Spray Shower,Thomas Jefferson Park Playground
"40.793668696055413, -73.936498480890435",Pool,Thomas Jefferson Wading Pool
"40.793333487668292, -73.936399140717072",Pool,Thomas Jefferson Pool
"40.843236522009185, -73.8906088974397",Spray Shower,Prospect Playground
"40.73072573073013, -73.79277632058299",Spray Shower,Utopia Playground
"40.78248469211243, -73.82379965754986",Spray Shower,Harvey Playground
"40.8059804587717, -73.94370012850086",Spray Shower,Marcus Garvey Memorial Park
"40.8038080398771, -73.94274004140237",Spray Shower,Marcus Garvey Park Zone 2
"40.805296485963737, -73.943661334822508",Pool,Marcus Garvey Pool
"40.8525885088168, -73.90541732618372",Spray Shower,Mount Hope Garden
"40.855012030264575, -73.90763518381551",Spray Shower,Davidson Playground
"40.84869544636108, -73.91562772706773",Spray Shower,Galileo Playground
"40.83602213066526, -73.91401920448912",Spray Shower,Grant Park
"40.83986168051631, -73.94778272366871",Spray Shower,Discovery Playground
"40.83877764559448, -73.9461799661203",Spray Shower,Lily Brown Playground
"40.57525715661607, -73.97215485388675",Spray Shower,Asser Levy Playground
"40.825306669844295, -73.90120404902363",Spray Shower,Behagen Playground
"40.82685320783985, -73.89763915187662",Spray Shower,Rev J Polite Playground
"40.74165486460973, -74.00200768134239",Spray Shower,Dr. Gertrude B. Kelly Playground
"40.71563309341482, -73.98145415513977",Spray Shower,Luther Gulick Park
"40.77119654070978, -73.98858485445673",Spray Shower,Gertrude Ederle Recreation Center
"40.771443024798863, -73.988899916317635",Pool,Gertrude Ederle Pool
"40.85619527300234, -73.89485139492618",Spray Shower,Thorpe Family Playground
"40.77096701827128, -73.77128800224897",Spray Shower,Buz O'Rourke Playground
"40.82412121958411, -73.89769156922",Spray Shower,Horseshoe Playground
"40.85470412797269, -73.90393684859455",Spray Shower,Mabel Hampton Playground
"40.8137631332101, -73.95082373612944",Spray Shower,St Nicholas
"40.82050780968413, -73.94678046983483",Spray Shower,Arlington Edinboro Playground
"40.79338084506551, -73.8514543197801",Spray Shower,MacNeil Playground
"40.72686549882464, -73.98256605931677",Spray Shower,Tompkins Square Park
"40.726850108480797, -73.98102961490892",Pool,Tompkins Square Mini Pool
"40.62018953649013, -73.89913855332742",Spray Shower,McGuire Fields Tot Lot
"40.597211352841605, -73.99969698868105",Spray Shower,Bensonhurst Park Playground
"40.822668319296525, -73.94000700895667",Spray Shower,Robert L. Clinkscales Playground and Community Garden
"40.77102149404946, -73.77946700461274",Spray Shower,Kennedy Playground
"40.80686174289309, -73.95777654083474",Spray Shower,Morningside Plgd
"40.805372902891165, -73.95963663679571",Spray Shower,Morningside Park Zone 4
"40.80983769738324, -73.95594091113202",Spray Shower,Playground 123
"40.65063092685418, -73.97669580074452",Spray Shower,Greenwood Playground
"40.63078341201957, -73.89290093019777",Spray Shower,Dinapoli Plgd
"40.626732376732704, -73.89963839168932",Spray Shower,Canarsie Playground
"40.63078038429639, -73.892894942365",Spray Shower,Dinapoli Playground
"40.67881851824935, -73.87408810059779",Spray Shower,City Line Park
"40.78710524487739, -73.93917623328643",Spray Shower,Playground 103 CIII
"40.817975753074755, -73.90693035322968",Spray Shower,Captain Rivera Playground
"40.90354180342056, -73.89561425880821",Spray Shower,Northwest Playground
"40.88390378637269, -73.8816573734718",Spray Shower,Sachkerah Woods Playground
"40.90013325380817, -73.87213963826916",Spray Shower,Woodlawn Playground
"40.889079803156285, -73.89804568161608",Spray Shower,Van Cortlandt Park Stadium
"40.8851555025034, -73.89039982658024",Spray Shower,Van Cortlandt Classic Plgd
"40.90309545274639, -73.89526143070569",Spray Shower,Van Cortlandt Tot Lot
"40.88666105563414, -73.89802192980362",Spray Shower,Southwest Plgd
"40.889999835315457, -73.896681906108128",Pool,Van Cortlandt Wading Pool
"40.889824510422308, -73.89635712834577",Pool,Van Cortlandt Pool
"40.82918882187297, -73.94425772623569",Spray Shower,Carmansville Playground
"40.721357320028396, -73.9917345611582",Spray Shower,Rivington St Plgd
"40.717393002184615, -73.99376600633718",Spray Shower,Hester St Plgd
"40.719631710639426, -73.99261426125398",Spray Shower,Sara D. Roosevelt Park
"40.72284950772821, -73.99097097983947",Spray Shower,Houston St Plgd
"40.880516177753485, -73.86137501748614",Spray Shower,Agnes Haywood Playground
"40.593543745967956, -73.79468426389245",Spray Shower,Almeda Playground
"40.74191846492128, -73.97830516990624",Spray Shower,Vincent F. Albano Jr. Playground
"40.672752715663066, -73.909005082851621",Pool,Howard Pool
"40.672615039095291, -73.909191574571807",Pool,Howard Wading Pool
"40.680776218484, -73.92281295180011",Spray Shower,Brevoort Playground
"40.66468215822832, -73.90417080201017",Spray Shower,Van Dyke Playground
"40.652517036366824, -73.89250624654063",Spray Shower,Breukelen Ballfields
"40.630780381854365, -74.16485279726498",Spray Shower,The Big Park
"40.68975342507566, -73.95750656646261",Spray Shower,Lafayette Gardens Playground
"40.801998903331672, -73.933024327844777",Pool,Wagner Wading Pool
"40.802103076918904, -73.933349468111487",Pool,Wagner Pool
"40.7019930393567, -74.01430695414612",Spray Shower,Battery Park Playground
"40.60876869856769, -73.98599110578108",Spray Shower,Seth Low Playground/ Bealin Square
"40.865962867238615, -73.89819007785471",Spray Shower,St James Park Playground
"40.69306626914047, -73.79607954556839",Spray Shower,Marconi Park
"40.8486392087036, -73.85198211937045",Spray Shower,Loreto Playground
"40.79735786106587, -73.94219384718942",Spray Shower,James Weldon Johnson Playground
"40.868022465066694, -73.84200258346132",Spray Shower,Angelo Campanaro Plgd
"40.73025381901607, -73.88539248127168",Spray Shower,Elmhurst Park
"40.71709074299305, -74.01155332427624",Spray Shower,Washington Market Park
"40.792222504367821, -73.774610022252546",Pool,Totten Pool
"40.792396359603451, -73.774580336981458",Pool,Totten Wading Pool
"40.84483607657, -73.91382026830415",Spray Shower,Jerome Playground South
"40.815551175663785, -73.93773378860868",Spray Shower,William McCray Playground
"40.88542532702778, -73.83953906884204",Spray Shower,Stars & Stripes Playground
"40.87140615580755, -73.89798917087693",Spray Shower,Strong Street Playground
"40.87466414520804, -73.90085322643156",Spray Shower,Fort #4 Playground
"40.871363942120304, -73.89804049066926",Spray Shower,Strong Street Plgd
"40.75900627741499, -73.869408883661208",Pool,Fisher Pool
"40.758901924298975, -73.869643609323788",Pool,Fisher Wading Pool
"40.75945639666274, -73.95866697211736",Spray Shower,Twenty-Four Sycamores Park
"40.779327943345706, -73.94419565624266",Spray Shower,DeKovats Playground
"40.70979087901644, -73.95595647482972",Spray Shower,Rodney Playground South
"40.74707680900466, -73.74587850545768",Spray Shower,Alley Park
"40.69016384193866, -73.97059663186529",Spray Shower,Albert J. Parham Playground
"40.690451070500799, -73.97061762023354",Pool,PS 20 Playground Mini Pool
"40.74339115035208, -73.8145564415642",Spray Shower,Captain Mario Fajardo Park
"40.746218945992865, -73.82121729669528",Spray Shower,Playground 146
"40.749892808724006, -73.82299300642069",Spray Shower,Silent Springs Playground
"40.728172576801754, -73.97973450293782",Spray Shower,Joseph C. Sauer Park
"40.72351779326718, -73.98963947110286",Spray Shower,First Park
"40.75003421270118, -73.72057997413194",Spray Shower,Castlewood Playground
"40.749814529453133, -73.720722145400018",Pool,PS 186 Playground Mini Pool
"40.80587558261441, -73.88881042987855",Spray Shower,Barretto Point Park Playground
"40.804149906408306, -73.888985966442803",Pool,Floating Pool
"40.756415905581477, -73.96528620249029",Pool,Constance Baker Motley Pool
"40.67130500086405, -73.91853429749631",Spray Shower,Prospect Plaza Park
"40.74167041315257, -73.99600352180185",Spray Shower,Chelsea Green
"40.841547179827955, -73.93806185473872",Spray Shower,Audubon Playground
"40.82833282098885, -73.85800801649215",Spray Shower,FDNY-EMT Yadira Arroyo Playground
"40.872332674434105, -73.88273018969247",Spray Shower,Mosholu Playground
"40.839146912999, -73.86647947393794",Spray Shower,Taylor Playground
"40.871732739106925, -73.90599450252815",Spray Shower,Riverbend Playground
"40.715006141053841, -73.960445581020451",Pool,Metropolitan Pool
"40.81569099031165, -73.92289396398192",Spray Shower,Patterson Playground
"40.82284303883934, -73.90732534119232",Spray Shower,Hilton White Playground
"40.60229730795956, -74.09020259223117",Spray Shower,Naples Playground
"40.71092735764776, -73.81052783692867",Spray Shower,Briarwood Playground
"40.684406391069295, -73.72884848293293",Spray Shower,Delphin H. Greene Playground
"40.86240665483341, -73.85818449530835",Spray Shower,Mazzei Playground
"40.72051696886958, -73.85964900946283",Spray Shower,The Painter's Playground
"40.71104028749019, -73.73880054556442",Spray Shower,Wayanda Park
"40.69162924879317, -73.85334905292308",Spray Shower,Equity Playground
"40.79554390865153, -73.96872860194514",Spray Shower,Happy Warrior Playground
"40.70890971415224, -73.93849734459577",Spray Shower,Ten Eyck Playground
"40.57357994428334, -73.99264670944706",Spray Shower,Surf Playground
"40.65618028194435, -73.90606370367918",Spray Shower,Osborn Playground
"40.59497085983522, -73.99313990890667",Spray Shower,Bath Playground
"40.67556852373914, -73.86278145093291",Spray Shower,Belmont Playground
"40.659019824289345, -73.87953590392424",Spray Shower,Jerome Playground
"40.697831299289874, -73.98286515841488",Spray Shower,Golconda Playground
"40.70473696636448, -73.88152029647141",Spray Shower,"""Uncle"" Vito F. Maranzano Glendale Playground"
"40.693144455392144, -73.79018598906396",Spray Shower,Jamaica Playground
"40.80519141049761, -73.92415639620536",Spray Shower,Pulaski Park
"40.67735484137192, -73.83542350496757",Spray Shower,Al Stabile Playground
"40.700900415281865, -73.94609574490927",Spray Shower,Bartlett Playground
"40.901977947493364, -73.8547621038097",Spray Shower,Wakefield Playground
"40.697054413625764, -73.81262759348358",Spray Shower,Jamaica Gateway Park
"40.6972700321091, -73.81216917365852",Spray Shower,Gateway Park
"40.820331161031454, -73.91824581872469",Spray Shower,Melrose Playground
"40.66086328340883, -73.907032174074",Spray Shower,Newport Playground
"40.78949985391201, -73.97213532392952",Spray Shower,St. Gregory's Playground
"40.813017604593057, -73.939421959733011",Pool,Hansborough Pool
"40.84455217384589, -73.89463549998581",Spray Shower,Tremont Plgd (2)
"40.846118332923595, -73.89382815567697",Spray Shower,Tremont Plgd (1)
"40.82100434439645, -73.91173319985181",Spray Shower,Flynn Playground
"40.832774458460236, -73.92420723863002",Spray Shower,Mullaly Park
"40.831789909564471, -73.92436334618219",Pool,Mullaly Wading Pool
"40.831870118416361, -73.9243317391972",Pool,Foster Pool
"40.8435349354523, -73.86587130429395",Spray Shower,Van Nest Park
"40.71253919221002, -73.98783047505104",Spray Shower,Little Flower Playground
"40.81004410496858, -73.94011420830353",Spray Shower,Courtney Callender Playground
"40.761395915074885, -73.99273557532148",Spray Shower,Mathews-Palmer Playground
"40.835906795750645, -73.90331146424155",Spray Shower,Gouverneur Playground
"40.838947454169471, -73.907302079667517",Pool,Claremont Wading Pool
"40.838955791663395, -73.907731984587343",Pool,Claremont Pool
"40.87778122239654, -73.90803890750247",Spray Shower,Marble Hill Playground
"40.73567672894999, -73.95900602005155",Spray Shower,Greenpoint Playground
"40.67205744307673, -73.9660295625442",Spray Shower,Mt Prospect Park Playground
"40.59489207244729, -73.74713280725011",Spray Shower,Beach 17 Playground
"40.592515343278855, -73.76203651109068",Spray Shower,Beach 30th Street Playground
"40.62668185773045, -74.01708461962528",Spray Shower,McKinley Park Playground
"40.89081320792597, -73.86420178478494",Spray Shower,227th Street Playground
"40.82715823436182, -73.87355223520468",Spray Shower,Parque De Los Ninos
"40.884003126872734, -73.86704269871262",Spray Shower,Olinville Playground
"40.846459720949618, -73.886207604485719",Pool,Mapes Pool
"40.846703124610038, -73.886262804588227",Pool,Mapes Wading Pool
"40.81521671506927, -73.88903938524213",Spray Shower,Julio Carballo Fields
"40.824840000444446, -73.89437491048132",Spray Shower,Tiffany Playground
"40.69006080757787, -73.94640344578411",Spray Shower,Herbert Von King Park
"40.719690344335824, -73.97688215070572",Spray Shower,Wald Playground
"40.71226804637977, -73.9973998309756",Spray Shower,Playground One
"40.81212728645357, -73.93685949758914",Spray Shower,Abraham Lincoln Playground
"40.812157729980932, -73.937166820006397",Pool,Abe Lincoln Mini Pool
"40.66749282765941, -73.80715997929447",Spray Shower,Police Officer Edward Byrne Park
"40.73151821793743, -73.99756761526142",Spray Shower,Washington Square Park
"40.59121926369845, -73.98084346927861",Spray Shower,Marlboro Playground
"40.81715574647384, -73.93923671753906",Spray Shower,Fred Samuel Playground
"40.63106435601818, -73.95666217929976",Spray Shower,Hot Spot Tot Lot
"40.73567315930694, -73.98215368092544",Spray Shower,Augustus St. Gaudens Playground
"40.69497581659849, -73.91852281399444",Spray Shower,Heckscher Playground
"40.84489008673198, -73.89885780281016",Spray Shower,Stop & Go Playground
"40.57753342750695, -73.94065301998288",Beach,Manhattan Beach Park Playground
"40.57719984367047, -73.9463629468804",Beach,Pat Parlato Plgd
"40.83010102558454, -73.88585423060168",Spray Shower,Daniel Boone Playground
"40.65586580953982, -74.00521108612357",Spray Shower,D'Emic Playground
"40.855781390344596, -73.89342285663055",Spray Shower,Washington Park
"40.81711516150557, -73.90482451821636",Spray Shower,Abigail Playground
"40.707932668118374, -74.00385259704355",Spray Shower,Pearl St Playground
"40.813624622963026, -73.9052809372921",Spray Shower,Fountain Of Youth Playground
"40.74213959188372, -73.82729582716016",Spray Shower,Turtle Playground
"40.82404397301279, -73.89086601698827",Spray Shower,Printers Park Playground
"40.825577397073594, -73.88753203934793",Spray Shower,Longfellow Playground
"40.74524163896343, -73.9739495249833",Spray Shower,St. Vartan Park
"40.81498815642341, -73.89847297515452",Spray Shower,Fox Park
"40.84567471440103, -73.92347005092351",Spray Shower,Sedgwick Playground
"40.717305588537364, -73.97682303473928",Spray Shower,Baruch Playground
"40.880689979356816, -73.91990919809287",Spray Shower,Paul's Playground
"40.83905238848679, -73.90373673976805",Spray Shower,Little Claremont Playground
"40.881891241268065, -73.89490717361261",Spray Shower,Fort Independence Playground
"40.575108751433255, -73.96514093139842",Spray Shower,Brighton Playground
"40.84531201034292, -73.90971152469528",Spray Shower,Morris Mesa
"40.56406196023867, -74.09747295749084",Beach,Corporal Allan F. Kivlehan Park
"40.768191289717386, -73.99428948745008",Spray Shower,De Witt Clinton Park
"40.84575144486404, -73.9040237125522",Spray Shower,Cleopatra Playground
"40.84672217699243, -73.91935746243206",Spray Shower,Half-Nelson Playground
"40.83127989506172, -73.91473314395895",Spray Shower,Mott Playground
"40.65116646353135, -73.96543429216493",Spray Shower,Detective Dillon Stewart Plgd
"40.72205116089189, -73.96061267842894",Spray Shower,Bushwick Inlet Park
"40.84590639972184, -73.94095273841698",Spray Shower,J Hood Wright Park Playground
"40.72979888172605, -74.0061524803277",Spray Shower,James J Walker Park
"40.729548109138449, -74.005820891193522",Pool,Tony Dapolito Diving Pool
"40.729643350496737, -74.005803602658162",Pool,Tony Dapolito Pool
"40.73925387400784, -73.76533876072492",Spray Shower,210 St Playground
"40.726941221349605, -73.77554842694653",Spray Shower,Redwood Playground
"40.71204164572232, -73.98436372971324",Spray Shower,Lillian D Wald Playground
"40.612590965121626, -74.012408631465",Spray Shower,Dyker Playground
"40.60673138626254, -74.01625379723896",Spray Shower,Bay 8 Playground
"40.614435853882675, -74.0290398826497",Spray Shower,John J Carty Park
"40.88648375718549, -73.91682787982052",Spray Shower,Seton Park Playground
"40.57310477959496, -74.0848467589686",Beach,Midland Beach Zone 5
"40.574318070959286, -74.0844131699601",Beach,Midland Beach Playground
"40.578258270153974, -74.07718086090809",Beach,Midland Beach Zone 4
"40.58884973186393, -74.06739487827682",Beach,Playland
"40.595394767025425, -74.08136110402779",Spray Shower,Old Town Playground
"40.595246894412995, -74.081630895572303",Pool,PS 46 Playground Mini Pool
"40.59758796831603, -74.07106558592143",Spray Shower,Arrochar Playground
"40.8261137302699, -73.88130272648938",Spray Shower,Watson Houses Playground
"40.66420938544146, -73.91192058418255",Spray Shower,Imagination Playground at Betsy Head
"40.663344055222908, -73.913053978108564",Pool,Betsy Head Pool
"40.68427948705326, -73.8850953208317",Spray Shower,Lower Highland Playground
"40.820928364395094, -73.93142071736384",Spray Shower,Mill Pond PLayground
"40.59393417111994, -73.98418125614495",Spray Shower,Scarangella Park
"40.71016024653696, -73.99518030628269",Spray Shower,Tanahey Playground
"40.68169853112861, -73.91322392468845",Spray Shower,Marion Hopkinson Playground
"40.752353128608995, -73.9649391017384",Spray Shower,MacArthur Playground
"40.740107349764735, -73.97791260164435",Spray Shower,Bellevue South Park
"40.59292516550383, -73.78539071759789",Spray Shower,Arverne Playground
"40.84918821373933, -73.90128559906302",Spray Shower,Richman (Echo) Park Lower
"40.8495935220175, -73.90198927777494",Spray Shower,Richman (Echo) Park Upper
"40.82719775723413, -73.9146979086921",Spray Shower,Arcilla Playground
"40.80257426147189, -73.93801582058836",Spray Shower,Dr. Ronald E. McNair Playground
"40.844051282052654, -73.92249291655551",Spray Shower,Plimpton Playground
"40.76286726308664, -73.99280432578777",Spray Shower,Hell's Kitchen Park
"40.725460810695814, -73.97545543181039",Spray Shower,Dry Dock Playground
"40.725543549318445, -73.975799303741425",Pool,Dry Dock Wading Pool
"40.725385336811676, -73.975669862046644",Pool,Dry Dock Pool
"40.78871750809039, -73.97201361051991",Spray Shower,Playground Eighty Nine LXXXIX
"40.8539982059275, -73.91654591509827",Spray Shower,Beanstalk Playground
"40.85512223573286, -73.91738859057473",Spray Shower,Cedar Playground
"40.84387045485459, -73.91717021203337",Spray Shower,Goble Playground
"40.841958790009, -73.92367047239382",Spray Shower,Ogden Plimpton Playground
"40.69245508409824, -73.93025435797247",Spray Shower,Lafayette Playground
"40.587812373155735, -73.99056793800855",Spray Shower,Calvert Vaux Park Playground
"40.571971116093586, -73.9922552083113",Spray Shower,Poseidon Playground
"40.80953983594949, -73.91720316347129",Spray Shower,People's Park
"40.84414128815096, -73.88150727348992",Spray Shower,Vidalia Park
"40.641119716899048, -74.135610745563355",Pool,Faber Pool
"40.75758568527823, -73.87864846627936",Spray Shower,Playground Ninety
"40.67393850073413, -73.7568320856392",Spray Shower,Montbellier Park
"40.67421491390336, -73.77522766402124",Spray Shower,Rochdale Park Playground
"40.685843342186, -73.76981441097507",Spray Shower,Roy Wilkins Park Playground
"40.687357868963865, -73.769607836698256",Pool,Roy Wilkins Pool
"40.673862958090815, -73.76906546862324",Spray Shower,South Rochdale Playground
"40.68011719253767, -73.77498199861222",Spray Shower,North Rochdale Playground
"40.685893457215364, -73.75599987615833",Spray Shower,Locust Manor Playground
"40.693492527753364, -73.77798734949054",Spray Shower,174 St Playground
"40.6903725234182, -73.83952615046589",Spray Shower,Maurice A FitzGerald Playground
"40.72980818990515, -73.83502018395606",Spray Shower,Triassic Playground
"40.73519614488491, -73.84366020051876",Spray Shower,Jurassic Playground
"40.74695922909471, -73.8434350525623",Spray Shower,Reflecting Pool Lawns
"40.72265166953363, -73.82692273056077",Spray Shower,Albert H. Mauro Playground
"40.74868612527023, -73.83367720843707",Spray Shower,Lawrence Playground
"40.737521484536174, -73.84590168935051",Spray Shower,World's Fair Playground
"40.751875453284562, -73.837408870592427",Pool,Flushing Meadows Corona Park Pool
"40.83913314863196, -73.92608872659765",Spray Shower,Merriam Plgd (Lower)
"40.84052423105305, -73.92689829300174",Spray Shower,Merriam Plgd (Upper)
"40.844088986337574, -73.78507818791428",Spray Shower,Ambrosini Field
"40.68408743516869, -73.78608839637756",Spray Shower,157 St Playground
"40.67770420213692, -73.78245223660893",Spray Shower,Lakeview Lane Playground
"40.672534318161084, -73.78748985389026",Spray Shower,Rockaway Blvd Playground
"40.66924489372042, -73.78827436542323",Spray Shower,Baisley Park South
"40.67480060950985, -73.78915445765097",Spray Shower,Sutphin Playground
"40.68010095045216, -73.9273992222524",Spray Shower,Jackie Robinson Park Playground
"40.652333214738306, -74.00818635665297",Spray Shower,Gonzalo Plasencia Playground
"40.64944523510783, -74.01222062520462",Spray Shower,Pena Herrera Playground
"40.81942259254842, -73.89824964682431",Spray Shower,Dawson Playground
"40.72997643073604, -73.96036153931662",Spray Shower,WNYC Transmitter Park
"40.719702638265126, -73.98076555397473",Spray Shower,Hamilton Fish Park
"40.71997801049428, -73.980954819904284",Pool,Hamilton Fish Wading Pool
"40.719507130737732, -73.980283204264111",Pool,Hamilton Fish Pool
"40.72600853311118, -73.72871578512492",Spray Shower,Breininger Park
"40.64241044830714, -73.99461218030395",Spray Shower,Brizzi Playground
"40.589155565573414, -73.92028300361004",Spray Shower,Seba Playground
"40.596764394387414, -73.92864685014055",Spray Shower,Dr John's Playground
"40.607471490886915, -73.93842282548736",Spray Shower,PS 278 Playground
"40.60641961141902, -73.92655841500071",Spray Shower,Lenape Playground
"40.583773848590695, -73.93137691197288",Spray Shower,Lew Fidler Park
"40.5968147923193, -73.92795719488727",Spray Shower,Dr John's Plgd
"40.82538988891582, -73.93472838424137",Spray Shower,Harlem Lane Playground
"40.6731060297417, -74.00368403425804",Spray Shower,Red Hook Recreation Area
"40.672689859219687, -74.00452186829267",Pool,Red Hook Pool
"40.673058856678175, -74.003614011147363",Pool,Red Hook Wading Pool
"40.5781964380472, -73.99535283290598",Spray Shower,Leon S Kaiser Playground
"40.760702440916084, -73.9113449115974",Spray Shower,Astoria Heights Playground
"40.68329574605225, -73.9051120672473",Spray Shower,Rudd Playground
"40.62281601776783, -74.07904454593772",Spray Shower,Rev. Dr. Maggie Howard Playground
"40.623247448432316, -74.07965083758995",Spray Shower,Stapleton Playground
"40.622624032028746, -74.079910991966941",Pool,PS 14 Playground Mini Pool
"40.78451679761019, -73.96839543004602",Spray Shower,Spector Plgd
"40.790417719668575, -73.9543948404099",Spray Shower,Bendheim Plgd
"40.789788827418086, -73.9654660824173",Spray Shower,Wild West Plgd
"40.7884418780629, -73.96644117732158",Spray Shower,Safari Plgd
"40.79184849246642, -73.96398798920787",Spray Shower,Rudin Plgd
"40.77208701995512, -73.96781954635138",Spray Shower,East 72nd St Plgd
"40.77581806397701, -73.96517306668002",Spray Shower,James Michael Levin Plgd
"40.78771434545952, -73.95661888956784",Spray Shower,East 96th St Plgd
"40.797587379760934, -73.95172472624208",Spray Shower,110th St & Lenox Ave Plgd
"40.78400295333711, -73.96968200798676",Spray Shower,Mariner's Gate Plgd
"40.78225894714344, -73.97095717981769",Spray Shower,Diana Ross Plgd
"40.77761349948409, -73.96398701280575",Spray Shower,Pat Hoffman Friedman Plgd
"40.795771061119225, -73.95036614362878",Spray Shower,Bernard Plgd
"40.79374838852335, -73.96261870468605",Spray Shower,West 100th St Plgd
"40.76945758723623, -73.96982953666274",Spray Shower,Billy Johnson Plgd
"40.76863789528071, -73.97744681173228",Spray Shower,Heckscher Plgd
"40.796032384441666, -73.954971522549002",Pool,Gottesman Pool
"40.79700000424099, -73.97496747325916",Spray Shower,Dinosaur Plgd
"40.78704747677767, -73.98220498829754",Spray Shower,River Run Plgd
"40.80175743965779, -73.97095004711657",Spray Shower,Tot Lot One Hundred Five
"40.7834157777825, -73.98639656437061",Spray Shower,Classic Plgd
"40.81517026740237, -73.96213450909222",Spray Shower,Claremont
"40.79304935764092, -73.97821549470517",Spray Shower,Hippo Plgd
"40.783375944291166, -73.98488750601895",Spray Shower,Neufeld Plgd
"40.57490024879502, -74.098808665886",Spray Shower,Midland Playground
"40.757099108764194, -73.94704265799936",Spray Shower,Vernon Playground
"40.64770834579786, -74.00447334235884",Spray Shower,Sunset Park Playground
"40.646789171329218, -74.002627162358323",Pool,Sunset Park Pool
"40.732219420424094, -73.86510228470173",Spray Shower,Lost Battalion Hall Recreation Center
"40.84954827021538, -73.91237490267844",Spray Shower,Davidson Park
"40.6987973729018, -73.84776888761",Spray Shower,Giovanelli Playground
"40.701017449229674, -73.84339984833974",Spray Shower,Jackson Pond Playground
"40.702633289847796, -73.86767710548466",Spray Shower,Dry Harbor Playground
"40.695680700764534, -73.86512458267273",Spray Shower,Mary Whalen Playground
"40.70143628710614, -73.85608190225247",Spray Shower,Greenhouse Playground
"40.70962436365085, -73.83577468115038",Spray Shower,Sobelsohn Park
"40.85847009550227, -73.92577901480963",Spray Shower,Ft George Plgd
"40.8607946184418, -73.92453444518044",Spray Shower,Dyckman Rest
"40.83653496664703, -73.93663445711616",Spray Shower,Adventure Playground
"40.84188872487477, -73.93393901615035",Spray Shower,CPF Playground
"40.85274693205536, -73.92701495307854",Spray Shower,Wallenberg Plgd
"40.84724641594648, -73.93104830663634",Spray Shower,Quisqueya Plgd
"40.836347919667844, -73.93669027270236",Spray Shower,Adventure Plgd
"40.842814226227212, -73.933424831377963",Pool,Highbridge Pool
"40.842851873143125, -73.933537264028246",Pool,Highbridge Wading Pool
"40.771734782187174, -73.93447828104938",Spray Shower,Hallets Cove Playground (area A)
"40.83445718176033, -73.88191428505316",Spray Shower,Starlight Park Playground
"40.824696553624065, -73.93543933877",Spray Shower,Frederick Johnson Playground
"40.60630679133027, -73.81912696139538",Spray Shower,Gene Gray Playground
"40.618535525191895, -74.1060495286094",Spray Shower,Clove Lakes Park Plgd
"40.58020033796482, -73.82745206996543",Spray Shower,Sandpiper Playground
"40.58632861419374, -73.8019431469028",Spray Shower,Rockaway Beach Playground
"40.58236732530996, -73.81967759746865",Spray Shower,Beach 98th Street Playground
"40.72605555762103, -73.84789528906593",Spray Shower,Yelowstone Park
"40.748378073906572, -74.002111241955689",Pool,Chelsea Pool
"40.72440606673134, -73.98569175093837",Spray Shower,McKinley Playground
"40.83502880576497, -73.92670789903451",Spray Shower,Nelson Playground
"40.6586230495669, -73.9631293579872",Spray Shower,Imagination Plgd
"40.660866282664045, -73.96343225349442",Spray Shower,Lincoln Rd Plgd
"40.65503097908935, -73.97291634544295",Spray Shower,Vanderbilt Playground
"40.66712390953755, -73.97285499987565",Spray Shower,Third St Plgd
"40.663569299715974, -73.97676373308758",Spray Shower,Harmony Playground
"40.68521732099169, -73.72675423348124",Spray Shower,Laurelton Parkway West Playground
