Location,Type,Name
"40.6974953173171, -73.91754470981427",Spray Shower,Hope Ballfield
"40.70869892598476, -73.96528708519504",Spray Shower,Epiphany Playground
"40.67861760845782, -73.89511315786808",Spray Shower,George Walker Jr. Park
"40.66845426463059, -73.90583186219149",Spray Shower,Carter G. Woodson Children's Park
"40.662246449975704, -73.90552205917562",Spray Shower,Nehemiah Park
"40.7019334615244, -73.93303455933612",Spray Shower,Green Central Knoll
"40.68438267584113, -74.0049048701894",Spray Shower,Mother Cabrini Park
"40.67404580107023, -73.8650913356637",Spray Shower,Robert E. Venable Park
"40.61886314946966, -73.9726387974758",Spray Shower,Friends Field
"40.674543698419534, -73.92895635287904",Spray Shower,Woods Playground
"40.67220442120033, -73.90507075795163",Spray Shower,Houston Playground
"40.66869400206271, -73.91184848382346",Spray Shower,Chester Playground
"40.64220789033601, -73.90776779277057",Spray Shower,Remsen Playground
"40.70268116178402, -73.94931898148451",Spray Shower,De Hostos Playground
"40.62242748181534, -73.90953459949192",Spray Shower,Bergen Beach Playground
"40.69124115979664, -73.950021185388437",Pool,Kosciuszko Pool
"40.69104371862673, -73.95035605599972",Pool,Kosciuszko Wading Pool
"40.67509503656166, -73.9623418259154",Spray Shower,Stroud Playground
"40.69447015330218, -73.94681939498072",Spray Shower,Willoughby Playground
"40.74775629740944, -73.85418176607834",Spray Shower,Corona Golf Playground
"40.65583208367245, -73.88675628646676",Spray Shower,Ethan Allen Playground
"40.64643895314284, -73.89913359247328",Spray Shower,100% Playground
"40.701094232957196, -73.93831175459202",Spray Shower,Garden Playground
"40.57682283577766, -73.97033285659148",Spray Shower,Century Playground
"40.700601661481436, -73.92831581308064",Spray Shower,Fermi Playground
"40.68610778754173, -73.91075895703713",Spray Shower,Evergreen Playground
"40.620102814500754, -73.91211192450979",Spray Shower,Hickman Playground
"40.67817037510417, -73.9144452348261",Spray Shower,Fish Playground
"40.624686427889756, -73.9192762406306",Spray Shower,Jacob Joffe Fields
"40.68560259786108, -73.94613938998262",Spray Shower,Hattie Carthan Playground
"40.69351018760061, -73.94199127242567",Spray Shower,Pulaski Playground
"40.874270751933, -73.87773386211101",Spray Shower,Whalen Playground
"40.689188152838646, -73.97153486733266",Spray Shower,Edmonds Playground
"40.6768333837152, -73.97855123162435",Spray Shower,Park Slope Playground
"40.63253276703259, -73.97712903932351",Spray Shower,DiGilio Playground
"40.588936716290654, -73.80545306530631",Spray Shower,Beach Channel Playground
"40.68266383408713, -73.93081283932115",Spray Shower,El Shabazz Playground
"40.66665140292389, -73.86257987880555",Spray Shower,Pink Playground
"40.68802402108317, -73.91099154424035",Spray Shower,Tiger Playground
"40.59064053267851, -73.9383364650308",Spray Shower,Playground 286
"40.658561250642194, -73.92187894269391",Spray Shower,Kennedy King Playground
"40.686434444550244, -73.96585133725415",Spray Shower,Greene Playground
"40.69386091148209, -73.9717165084844",Spray Shower,Oracle Playground
"40.5760937477803, -73.97913102915295",Spray Shower,Luna Playground
"40.697826336837124, -73.97639912484692",Spray Shower,Oxport Playground
"40.68926178390397, -73.96050324898725",Spray Shower,Classon Playground
"40.692460309035134, -73.96234171694722",Spray Shower,Pratt Playground
"40.66129006635922, -73.98947409789425",Spray Shower,Slope Park Playground
"40.6430910790835, -73.92331328714874",Spray Shower,Harry Maze Playground
"40.61926703499531, -74.01434997468297",Spray Shower,Patrick O'Rourke Playground
"40.812754710894644, -73.91313499413923",Spray Shower,St Mary's Playground West
"40.811508366100774, -73.914210237568753",Pool,St. Mary's Pool
"40.60219709866959, -74.00235792929291",Spray Shower,Benson Playground
"40.5824819846225, -73.96456944132588",Spray Shower,Grady Playground
"40.63488183593251, -73.88746265908841",Spray Shower,Bayview Playground
"40.64904500678636, -73.91372190456843",Spray Shower,Railroad Playground
"40.65652515935905, -73.95462057888598",Spray Shower,Winthrop Playground
"40.6915607711365, -73.95780198708555",Spray Shower,Star Spangled Playground
"40.64054463907073, -74.01106490658762",Spray Shower,Rainbow Playground
"40.69727573052561, -73.94275920794006",Spray Shower,Sumner Playground
"40.681879888712366, -73.94421514526692",Spray Shower,Potomac Playground
"40.67169048111837, -73.90773452067323",Spray Shower,Howard Playground
"40.658569520103505, -73.94419925957446",Spray Shower,Wingate Park
"40.586659824236456, -73.96998461194815",Spray Shower,West Playground
"40.63837098077167, -73.94776986254378",Spray Shower,Nostrand Playground
"40.600560243353335, -73.97210105307374",Spray Shower,McDonald Playground
"40.59829389010035, -73.93963388566318",Spray Shower,Herman Dolgon Playground
"40.6477837266722, -73.93129818752985",Spray Shower,Tilden Playground
"40.68458405391702, -73.98786677693003",Spray Shower,Nicholas Naquan Heyward Jr. Park
"40.71479012772632, -73.98922815913278",Spray Shower,Seward Park
"40.67888666645144, -73.94177869181958",Spray Shower,St. Andrew's Playground
"40.68804259303831, -73.92549124900191",Spray Shower,P.O. Reinaldo Salgado Playground
"40.7572451043182, -73.933249074114",Spray Shower,Dutch Kills Playground
